pass_id,labez,lesart
137,a,αυτω
137,b,""
138,a,προβας
138,b,προσβας
139,a,ολιγον
139,c,ολιγον εκειθεν
139,d,εκειθεν
140,a,""
140,b,αλλους δυο αδελφους
141,a,τον
141,b,""
142,a,του
142,b,""
143,a,τον αδελφον αυτου
143,b,τον αδελφον
143,c,""
144,a,και αυτους
144,b,""
145,a,εν τω πλοιω καταρτιζοντας
145,b,καταρτιζοντας εν τω πλοιω
145,c,καταρτιζοντας
146,a,τω
146,b,""
146,zu,""
147,a,καταρτιζοντας
147,b,κατασκευαζοντας
147,c,και λεγει αυτοις ησαν γαρ καταρτιζοντες
148,a,""
148,b,αυτων
149,a,και ευθυς εκαλεσεν αυτους
149,b,και εκαλεσεν ευθεως αυτους
149,c,και ευθεως εκελευσεν αυτους
149,d,"και εκαλεσεν αυτους (cf. 10b, bo)"
149,e,και ευθεως εκαλεσεν
149,f,""
150,a,και
150,b,και ευθυς (cf. 2-8d)
150,c,οι δε ευθεως
151,a,""
151,b,τα δικτυα και
152,a,τον πατερα αυτων ζεβεδαιον εν τω πλοιω μετα των μισθωτων
152,b,εν τω πλοιω τον πατερα αυτων ζεβεδαιον μετα των μισθωτων
153,a,αυτων
153,b,αυτον
154,a,εν τω πλοιω μετα των μισθωτων
154,b,μετα των μισθωτων εν τω πλοιω
154,c,μετα των μισθωτων
155,a,μισθωτων
155,b,μισθιων
156,a,""
156,b,αυτων
156,c,και
157,a,απηλθον οπισω αυτου
157,b,ηκολουθησαν αυτω
158,a,απηλθον
158,b,ηλθον
159,a,αυτου
159,b,αυτων
160,a,εισπορευονται
160,b,εισπορευεται
160,c,εισεπορευοντο
160,d,διεπορευοντο
160,e,διεπορευετο
160,f,εισπορευονται μετ αυτου
160,g,εισπορευονται οπισω αυτου
161,a,και
161,b,αλλ
161,c,""
162,a,τοις σαββασιν εισελθων εις την συναγωγην εδιδασκεν
162,b,τοις σαββασιν εισελθων εδιδασκεν εις την συναγωγην
162,c,τοις σαββασιν εδιδασκεν εισελθων εις την συναγωγην εδιδασκεν
162,d,τοις σαββασιν εισελθων εις την συναγωγην αυτων εδιδασκεν
162,e,τοις σαββασιν εισελθων εις την συναγωγην και εδιδασκεν
162,f,εν τοις σαββασιν εισελθων εις την συναγωγην εδιδασκεν
162,g,τοις σαββασιν ελθων εις την συναγωγην εδιδασκεν
162,h,εν τοις σαββασιν εδιδασκεν εις την συναγωγην αυτων
162,i,τοις σαββασιν εις την συναγωγην αυτων εδιδασκεν
162,j,τοις σαββασιν εδιδασκεν εις την συναγωγην αυτων
162,k,τοις σαββασιν εις την συναγωγην εδιδασκεν
162,l,τοις σαββασιν εδιδασκεν εις την συναγωγην
162,m,τοις σαββασιν εδιδαξεν εις την συναγωγην
162,n,εδιδασκεν εν τοις σαββασιν εις την συναγωγην
163,a,""
163,b,αυτους
164,a,και
164,b,""
165,a,""
165,b,παντες
165,c,οι οχλοι
166,a,επι
166,b,εν
167,a,αυτους
167,b,""
168,a,και
168,b,""
169,a,""
169,b,αυτων
170,a,και ευθυς
170,b,και
170,c,τω καιρω εκεινω
170,d,""
171,a,ην εν τη συναγωγη αυτων ανθρωπος
171,b,εν τη συναγωγη αυτων ην ανθρωπος
171,c,ανθρωπος τις ην εν τη συναγωγη των ιουδαιων
171,d,εν τη συναγωγη αυτων ανθρωπος
172,a,""
172,b,εκει
173,a,αυτων
173,b,αυτου
173,d,των ιουδαιων
173,e,""
174,a,""
174,b,τις
175,a,ακαθαρτω
175,b,δαιμονιου ακαθαρτου
176,a,""
176,b,συνεχομενος
177,a,ανεκραξεν
177,b,ανεκραζεν
177,c,ενεκραξεν
177,d,εκραξεν
177,e,εκραζεν
178,a,""
178,b,φωνη μεγαλη
179,a,""
179,b,εα
180,a,ημιν
180,b,ημων
181,a,ιησου
182,a,ηλθες
182,b,ηλθεν
183,a,απολεσαι ημας
183,b,ημας απολεσαι
183,c,απολεσαι υμας
183,d,ωδε απολεσαι ημας
183,e,ημας απολεσαι ωδε
184,a,οιδα
184,b,οιδαμεν
185,a,σε
185,b,""
186,a,τις
186,b,τι
187,a,ο αγιος του θεου
187,b,ο αγιος του ισραηλ οιδα σε τις ει ο αγιος του θεου
187,c,""
188,a,και επετιμησεν αυτω ο ιησους λεγων
189,a,αυτω ο ιησους
189,b,ο ιησους αυτω
189,c,αυτω
189,zu,""
190,a,αυτω
190,b,αυτοις
190,c,αυτο
190,zu,""
191,a,λεγων
191,b,και ειπεν
191,c,""
191,zu,""
192,a,φιμωθητι και εξελθε εξ αυτου
192,b,εξελθε εξ αυτου και φιμωθητι
192,c,εξελθε εξ αυτου
193,a,και
193,b,""
193,zu,""
194,a,εξ αυτου
194,b,απ αυτου
194,c,εκ του ανθρωπου
194,d,απο του ανθρωπου
195,a,""
195,b,πνευμα ακαθαρτον (cf. 26/8-14b)
196,a,""
196,b,εξηλθεν (cf. 24-28b-c)
197,a,σπαραξαν αυτον το πνευμα το ακαθαρτον
197,b,το πνευμα το ακαθαρτον σπαραξας αυτον
197,c,το πνευμα σπαραξαν αυτον
198,a,πνευμα το ακαθαρτον
198,b,πνευμα ακαθαρτον
198,c,πνευμα
198,d,ακαθαρτον
198,e,δαιμονιον (cf. 29b)
199,a,και φωνησαν φωνη μεγαλη εξηλθεν εξ αυτου
